640256,640209
640256,640146
55372,31896
55372,55369
639115,601671
639115,931513
69056,89061
69056,702852
878674,878672
878674,878734
48880,820253
48880,63304
119890,136887
119890,121651
726802,726876
726802,726788
599030,78785
599030,83824
646208,8467
646208,698340
872654,870798
872654,711093
520243,616621
520243,616649
567685,740816
567685,740689
449655,438265
449655,429611
575122,562449
575122,561997
487834,487436
487834,488042
751986,754506
751986,754402
489915,483828
489915,489902
161856,137264
161856,136520
503188,505914
503188,503195
450349,450274
450349,450344
643336,643334
643336,874322
435840,516761
435840,435878
395775,395747
395775,395798
354912,194644
354912,194657
657625,872442
657625,698788
853695,915835
853695,853719
308573,226708
308573,308570
259445,318691
259445,230189
796645,796656
796645,57613
221694,221727
221694,245785
790310,790452
790310,790495
612041,612013
612041,612119
369248,731940
369248,731937
133063,130587
133063,137598
32477,751185
32477,32466
338764,180211
338764,166474
193607,341219
193607,334808
590564,5729
590564,683396
126273,136561
126273,126278
338844,338842
338844,196738
241010,255134
241010,241012
688634,688672
688634,688634
491493,178528
491493,207451
99287,100876
99287,100585
461768,381613
461768,378674
728454,728474
728454,728481
326777,340294
326777,340273
904101,527758
904101,904089
575515,561643
575515,561662
